p1,s1,s2,s3,s4,,p2,s1,s2,s3,s4,,p3,s1,s2,s3,s4,,p4,s1,s2,s3,s4
,,,,,,,,,,,,,,,,,,,,,,
senseless,0.6052,0.8000,0.4366,0.6845,,,0.5628,0.6667,0.4756,0.3945,,,0.2857,0.1795,0.3706,0.3042,,,0.6779,0.5630,0.2813,0.2158
slogans,0.0440,0.0000,0.0775,0.0140,,,0.0349,0.0123,0.0854,0.1289,,,0.0714,0.0769,0.0350,0.0385,,,0.0909,0.0370,0.0781,0.0144
questions,0.0098,0.0000,0.0000,0.0153,,,0.0116,0.0123,0.0366,0.0078,,,0.0317,0.0769,0.0280,0.0699,,,0.0104,0.0296,0.0469,0.0144
bully,0.0310,0.0500,0.0211,0.0498,,,0.0023,0.0000,0.0122,0.0078,,,0.0079,0.0256,0.0210,0.0000,,,0.0026,0.0074,0.0625,0.0000
demanding,0.0473,0.0000,0.0141,0.0255,,,0.0163,0.0000,0.0366,0.0195,,,0.0397,0.0513,0.0769,0.0315,,,0.0026,0.0370,0.0000,0.0000
egoic,0.0131,0.0000,0.0493,0.0153,,,0.0302,0.0000,0.0244,0.0469,,,0.0079,0.0000,0.0210,0.0140,,,0.0286,0.0370,0.0469,0.0000
complaint,0.0163,0.0000,0.0352,0.0153,,,0.0186,0.0000,0.0000,0.0195,,,0.0317,0.0513,0.0699,0.0629,,,0.0156,0.0222,0.0781,0.0072
love,0.0114,0.0000,0.1620,0.0383,,,0.0209,0.0123,0.0000,0.0234,,,0.0159,0.0000,0.0070,0.0105,,,0.0000,0.0000,0.0313,0.0000
humour,0.0685,0.0500,0.0563,0.0294,,,0.0465,0.1481,0.1341,0.1406,,,0.1905,0.2308,0.1189,0.1608,,,0.0364,0.0963,0.0781,0.0216
musical,0.0408,0.0000,0.0211,0.0153,,,0.0605,0.0494,0.0000,0.1016,,,0.0873,0.0256,0.0629,0.0979,,,0.0416,0.0815,0.0156,0.0072
support,0.1338,0.1000,0.1479,0.0920,,,0.1837,0.1481,0.2317,0.1250,,,0.2778,0.1795,0.1399,0.1993,,,0.0935,0.1259,0.2500,0.0791
uncategorized,0.0212,0.0000,0.0282,0.0077,,,0.0535,0.0247,0.0244,0.0781,,,0.0794,0.1795,0.0909,0.0944,,,0.0286,0.0148,0.1094,0.6475